x,y,z,boundary_left,boundary_right,velocity_long_ref,kappa,yaw_angle,yaw_angle_error,lat_deviation,arc_progress,time,yaw_angle_dot,velocity_lat,acceleration_long,acceleration_lat,force_long_fl,force_long_fr,force_long_rl,force_long_rr,steering_angle,steering_angle_dot
14.2885513,0.125720054,0,0.86,-0.86,3,-0.0340944561,-0.0802147902,0,0,14.2915755,0,-0.102283368,0,0,0,0,0,0,0,0,0
14.3883162,0.133911267,0,0.86,-0.86,3,-0.0348198744,-0.0836639778,0,0,14.3916765,0,-0.104459623,0,0,0,0,0,0,0,0,0
14.4880524,0.142450184,0,0.86,-0.86,3,-0.035545293,-0.0871857798,0,0,14.4917775,0,-0.106635879,0,0,0,0,0,0,0,0,0
14.5877571,0.151343912,0,0.86,-0.86,3,-0.0362707119,-0.0907801963,0,0,14.5918785,0,-0.108812136,0,0,0,0,0,0,0,0,0
14.6874294,0.160599574,0,0.86,-0.86,3,-0.0369961311,-0.0944472273,0,0,14.6919794,0,-0.110988393,0,0,0,0,0,0,0,0,0
14.7870665,0.170224294,0,0.86,-0.86,3,-0.0377215505,-0.0981868728,0,0,14.7920804,0,-0.113164652,0,0,0,0,0,0,0,0,0
14.8866673,0.180225164,0,0.86,-0.86,3,-0.0384469703,-0.101999133,0,0,14.8921814,0,-0.115340911,0,0,0,0,0,0,0,0,0
14.986228,0.190609291,0,0.86,-0.86,3,-0.0391723903,-0.105884007,0,0,14.9922824,0,-0.117517171,0,0,0,0,0,0,0,0,0
15.0857468,0.201383725,0,0.86,-0.86,3,-0.0398978107,-0.109841496,0,0,15.0923833,0,-0.119693432,0,0,0,0,0,0,0,0,0
15.1852226,0.212555528,0,0.86,-0.86,3,-0.0406232314,-0.113871599,0,0,15.1924843,0,-0.121869694,0,0,0,0,0,0,0,0,0
15.2846518,0.224131763,0,0.86,-0.86,3,-0.0413486524,-0.117974317,0,0,15.2925852,0,-0.124045957,0,0,0,0,0,0,0,0,0
15.3840322,0.236119419,0,0.86,-0.86,3,-0.0420740737,-0.12214965,0,0,15.3926862,0,-0.126222221,0,0,0,0,0,0,0,0,0
15.4833622,0.24852553,0,0.86,-0.86,3,-0.0427994954,-0.126397596,0,0,15.4927872,0,-0.128398486,0,0,0,0,0,0,0,0,0
15.5826368,0.261357069,0,0.86,-0.86,3,-0.0435249174,-0.130718158,0,0,15.5928881,0,-0.130574752,0,0,0,0,0,0,0,0,0
15.6818552,0.27462104,0,0.86,-0.86,3,-0.0442503397,-0.135111333,0,0,15.6929891,0,-0.132751019,0,0,0,0,0,0,0,0,0
15.7810135,0.288324326,0,0.86,-0.86,3,-0.0449757624,-0.139577124,0,0,15.79309,0,-0.134927287,0,0,0,0,0,0,0,0,0
15.8801098,0.302473903,0,0.86,-0.86,3,-0.0457011855,-0.144115528,0,0,15.893191,0,-0.137103556,0,0,0,0,0,0,0,0,0
15.9791393,0.317076683,0,0.86,-0.86,3,-0.0464266089,-0.148726547,0,0,15.9932919,0,-0.139279827,0,0,0,0,0,0,0,0,0
16.0781002,0.332139522,0,0.86,-0.86,3,-0.0471520326,-0.153410181,0,0,16.0933929,0,-0.141456098,0,0,0,0,0,0,0,0,0
16.1769905,0.347669274,0,0.86,-0.86,3,-0.0478774568,-0.158166429,0,0,16.1934938,0,-0.14363237,0,0,0,0,0,0,0,0,0
16.2758026,0.363672793,0,0.86,-0.86,3,-0.0486028813,-0.162995292,0,0,16.2935947,0,-0.145808644,0,0,0,0,0,0,0,0,0
16.3745384,0.380156845,0,0.86,-0.86,3,-0.0493283062,-0.167896769,0,0,16.3936957,0,-0.147984919,0,0,0,0,0,0,0,0,0
16.4731903,0.397128224,0,0.86,-0.86,3,-0.0500537315,-0.17287086,0,0,16.4937966,0,-0.150161195,0,0,0,0,0,0,0,0,0
16.5717545,0.414593697,0,0.86,-0.86,3,-0.0507791572,-0.177917566,0,0,16.5938975,0,-0.152337472,0,0,0,0,0,0,0,0,0
